API Name,Instance Memory,vCPUs,GPUs,GPU model,GPU memory,Instance Storage,Arch,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,GPU Architectures
g5.16xlarge,256 GiB,64 vCPUs,1,NVIDIA A10G,24 GiB,1900 GB NVMe SSD,x86_64,25 Gigabit,,,,Ampere
g5.2xlarge,32 GiB,8 vCPUs,1,NVIDIA A10G,24 GiB,450 GB NVMe SSD,x86_64,Up to 10 Gigabit,,,,Ampere
g5.4xlarge,64 GiB,16 vCPUs,1,NVIDIA A10G,24 GiB,600 GB NVMe SSD,x86_64,Up to 25 Gigabit,,,,Ampere
g5.8xlarge,128 GiB,32 vCPUs,1,NVIDIA A10G,24 GiB,900 GB NVMe SSD,x86_64,25 Gigabit,,,,Ampere
g5.xlarge,16 GiB,4 vCPUs,1,NVIDIA A10G,24 GiB,250 GB NVMe SSD,x86_64,Up to 10 Gigabit,,,,Ampere
g6.16xlarge,256 GiB,64 vCPUs,1,NVIDIA L4,24 GiB,1880 GB (2×940 GB NVMe SSD),x86_64,25 Gigabit,,,,Ada Lovelace
g6.2xlarge,32 GiB,8 vCPUs,1,NVIDIA L4,24 GiB,450 GB NVMe SSD,x86_64,Up to 10 Gigabit,,,,Ada Lovelace
g6.4xlarge,64 GiB,16 vCPUs,1,NVIDIA L4,24 GiB,600 GB NVMe SSD,x86_64,Up to 25 Gigabit,,,,Ada Lovelace
g6.8xlarge,128 GiB,32 vCPUs,1,NVIDIA L4,24 GiB,900 GB (2×450 GB NVMe SSD),x86_64,25 Gigabit,,,,Ada Lovelace
g6.xlarge,16 GiB,4 vCPUs,1,NVIDIA L4,24 GiB,250 GB NVMe SSD,x86_64,Up to 10 Gigabit,,,,Ada Lovelace
gr6.4xlarge,128 GiB,16 vCPUs,1,NVIDIA L4,24 GiB,600 GB NVMe SSD,x86_64,Up to 25 Gigabit,,,,Ada Lovelace
gr6.8xlarge,256 GiB,32 vCPUs,1,NVIDIA L4,24 GiB,900 GB (2×450 GB NVMe SSD),x86_64,25 Gigabit,,,,Ada Lovelace
g3.16xlarge,488 GiB,64 vCPUs,4,NVIDIA Tesla M60,32 GiB,EBS only,x86_64,20 Gigabit,$6.136 hourly,,,
g6e.16xlarge,512 GiB,64 vCPUs,1,NVIDIA L40S,48 GiB,1900 GB (2×950 GB NVMe SSD),x86_64,35 Gigabit,,,,Ada Lovelace
g6e.2xlarge,64 GiB,8 vCPUs,1,NVIDIA L40S,48 GiB,450 GB NVMe SSD,x86_64,Up to 20 Gigabit,,,,Ada Lovelace
g6e.4xlarge,128 GiB,16 vCPUs,1,NVIDIA L40S,48 GiB,600 GB NVMe SSD,x86_64,20 Gigabit,,,,Ada Lovelace
g6e.8xlarge,256 GiB,32 vCPUs,1,NVIDIA L40S,48 GiB,900 GB (2×450 GB NVMe SSD),x86_64,25 Gigabit,,,,Ada Lovelace
g6e.xlarge,32 GiB,4 vCPUs,1,NVIDIA L40S,48 GiB,250 GB NVMe SSD,x86_64,Up to 20 Gigabit,,,,Ada Lovelace
g4dn.12xlarge,192 GiB,48 vCPUs,4,NVIDIA T4 Tensor Core,64 GiB,900 GB NVMe SSD,x86_64,50 Gigabit,$4.694 hourly,$3.303 hourly,$1.5142 hourly,"Turing, Turing, Turing, Turing"
p3.8xlarge,244 GiB,32 vCPUs,4,NVIDIA Tesla V100,64 GiB,EBS only,x86_64,10 Gigabit,,,,
p5.4xlarge,256 GiB,16 vCPUs,1,NVIDIA H100,80 GiB,3800 GB NVMe SSD,x86_64,100 Gigabit,,,,
g5.12xlarge,192 GiB,48 vCPUs,4,NVIDIA A10G,96 GiB,3800 GB NVMe SSD,x86_64,40 Gigabit,,,,"Ampere, Ampere, Ampere, Ampere"
g5.24xlarge,384 GiB,96 vCPUs,4,NVIDIA A10G,96 GiB,3800 GB NVMe SSD,x86_64,50 Gigabit,,,,"Ampere, Ampere, Ampere, Ampere"
g6.12xlarge,192 GiB,48 vCPUs,4,NVIDIA L4,96 GiB,3760 GB (4×940 GB NVMe SSD),x86_64,40 Gigabit,,,,"Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace"
g6.24xlarge,384 GiB,96 vCPUs,4,NVIDIA L4,96 GiB,3760 GB (4×940 GB NVMe SSD),x86_64,50 Gigabit,,,,"Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace"
g7e.2xlarge,64 GiB,8 vCPUs,1,NVIDIA GB202,96 GiB,1900 GB NVMe SSD,x86_64,50 Gigabit,,,,Blackwell
g7e.4xlarge,128 GiB,16 vCPUs,1,NVIDIA GB202,96 GiB,1900 GB NVMe SSD,x86_64,50 Gigabit,,,,Blackwell
g7e.8xlarge,256 GiB,32 vCPUs,1,NVIDIA GB202,96 GiB,1900 GB NVMe SSD,x86_64,100 Gigabit,,,,Blackwell
p2.8xlarge,488 GiB,32 vCPUs,4,NVIDIA Tesla K80,96 GiB,EBS only,x86_64,10 Gigabit,,,,
g4dn.metal,384 GiB,96 vCPUs,8,NVIDIA T4 Tensor Core,128 GiB,1800 GB (2×900 GB NVMe SSD),x86_64,100 Gigabit,$9.389 hourly,$6.605 hourly,$3.6741 hourly,"Turing, Turing, Turing, Turing, Turing, Turing, Turing, Turing"
p3.16xlarge,488 GiB,64 vCPUs,8,NVIDIA Tesla V100,128 GiB,EBS only,x86_64,25 Gigabit,,,,
g5.48xlarge,768 GiB,192 vCPUs,8,NVIDIA A10G,192 GiB,7600 GB (2×3800 GB NVMe SSD),x86_64,100 Gigabit,,,,"Ampere, Ampere, Ampere, Ampere, Ampere, Ampere, Ampere, Ampere"
g6.48xlarge,768 GiB,192 vCPUs,8,NVIDIA L4,192 GiB,7520 GB (8×940 GB NVMe SSD),x86_64,100 Gigabit,,,,"Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace"
g6e.12xlarge,384 GiB,48 vCPUs,4,NVIDIA L40S,192 GiB,3800 GB (2×1900 GB NVMe SSD),x86_64,100 Gigabit,,,,"Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace"
g6e.24xlarge,768 GiB,96 vCPUs,4,NVIDIA L40S,192 GiB,3800 GB (2×1900 GB NVMe SSD),x86_64,200 Gigabit,,,,"Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace"
g7e.12xlarge,512 GiB,48 vCPUs,2,NVIDIA GB202,192 GiB,3800 GB NVMe SSD,x86_64,400 Gigabit,,,,"Blackwell, Blackwell"
